Age_Group,Gender,City_Type,Region,Occupation,Education,Income,Last_Purchase,Yearly_Purchases,Annual_Spend,Western_Frequency,Primary_Channel,Style,Fitness,Top_Factor,Occasion,Product_Interest,Bundle_Interest,Avg_Price,Too_Cheap,Acceptable,Too_Expensive,Trendiness,Quality_Pref,Identity_Expression,Peer_Influence,Aspirational,New_Brand_Open,Sustainability,COD_Preference,Concern,Loyalty_Offer,Brand,Switch_Reason,Discount_Type,Purchase_Intent
25–32,Prefer not to say,Rural,North-East,Freelancer,Graduate,<15k,3-6m,13-20,30-60k,Rare,Amazon,Formal,Daily,Trend,None,Accessories,Maybe,4000-7000,600-900,2000-3000,>6000,4,1,3,3,1,2,3,Always,Delivery,Early Access,Zara,Fit,Scratch,Neutral
25–32,Male,Tier-2,South,Freelancer,Graduate,>1L,8-30d,7-12,>1L,Monthly,Ajio,Fusion,No,Brand,College,Graphic,Maybe,500-1000,300-600,500-800,>6000,1,2,3,1,2,2,4,First time,Delivery,Free Gift,Newme,Recommendation,Welcome,Moderate
18–24,Non-binary,Tier-3,South,Freelancer,Diploma,30-60k,<7d,20+,60k-1L,Rare,Ajio,Formal,3-4x,Brand,Daily,Cargo,Maybe,2000-4000,<300,1300-2000,>1500,1,5,4,3,4,1,4,First time,No online,Free Gift,Roadster,Trend,B2G1,None
33–40,Non-binary,Tier-3,South,Student,Postgraduate,>1L,8-30d,1-3,5-15k,Quarterly,Instagram,Smart,3-4x,Brand,Festive,Sneakers,Yes,2000-4000,900-1200,2000-3000,>3000,4,5,2,4,1,1,2,First time,Delivery,Referral,Bonkers,Price,Welcome,High
Under 18,Non-binary,Rural,North,Government,Diploma,30-60k,>6m,7-12,30-60k,Rare,Amazon,Smart,Occasional,Trend,College,Sneakers,Maybe,4000-7000,300-600,2000-3000,>2000,4,5,1,4,2,2,4,Always,Sizing,Free Gift,H&M,Trend,Free Shipping,Neutral
50+,Prefer not to say,Rural,Central,Unemployed,Diploma,15-30k,>6m,20+,60k-1L,Weekly,Myntra,Smart,No,Sustainability,College,Cargo,No,4000-7000,300-600,800-1300,>3000,1,4,2,2,5,5,2,No,No online,Referral,Uniqlo,Recommendation,Scratch,None
33–40,Female,Tier-2,South,Freelancer,Postgraduate,15-30k,1-3m,4-6,5-15k,Rare,Instagram,Smart,3-4x,Brand,College,Graphic,No,>7000,<300,500-800,>1500,2,4,4,5,2,1,2,Always,No online,Early Access,Newme,None,Bundle,None
41–50,Female,Metro,West,Unemployed,Diploma,60k-1L,3-6m,7-12,30-60k,Monthly,Nykaa,Formal,Occasional,Quality,Sale,Co-ord,Maybe,4000-7000,900-1200,2000-3000,>4000,2,1,4,3,2,5,2,No preference,Returns,Referral,Local,Quality,Scratch,Moderate
50+,Non-binary,Metro,North-East,Government,Postgraduate,30-60k,3-6m,4-6,15-30k,Rare,Meesho,Casual,Occasional,Sustainability,Party,Accessories,Maybe,500-1000,<300,500-800,>6000,2,3,5,4,2,5,3,First time,Sizing,Points,Zara,Service,Free Shipping,Neutral
50+,Male,Tier-3,East,Homemaker,Postgraduate,NA,8-30d,7-12,60k-1L,Rare,Brand,Ethnic,3-4x,Comfort,Party,Accessories,No,<500,300-600,800-1300,>1500,3,2,5,2,1,3,1,Always,Delivery,Referral,Bonkers,Trend,B2G1,None
25–32,Male,Tier-2,East,Freelancer,Postgraduate,15-30k,3-6m,13-20,60k-1L,Quarterly,Ajio,Athleisure,No,Quality,Sale,Co-ord,Yes,>7000,600-900,1300-2000,>3000,1,3,4,2,2,5,5,No preference,Delivery,Referral,Newme,None,Bundle,None
Under 18,Female,Rural,South,Unemployed,Postgraduate,>1L,>6m,20+,15-30k,Quarterly,Amazon,Ethnic,Daily,Sustainability,None,Sneakers,No,<500,<300,2000-3000,>3000,3,4,5,3,2,4,4,No preference,Returns,Referral,Local,None,Bundle,Low
Under 18,Male,Tier-3,East,Business,School,<15k,<7d,4-6,<5k,Monthly,Myntra,Smart,3-4x,Comfort,None,Cargo,No,1000-2000,<300,2000-3000,>1500,3,2,3,2,5,2,5,No,None,Free Gift,None,Recommendation,Scratch,High
41–50,Female,Tier-2,East,Unemployed,Postgraduate,<15k,8-30d,7-12,30-60k,Weekly,Ajio,Casual,Daily,Comfort,Sale,Cargo,No,500-1000,600-900,2000-3000,>2000,1,4,2,1,5,2,1,First time,Quality,Birthday,Bonkers,Price,Scratch,High
41–50,Non-binary,Metro,North,Freelancer,Graduate,30-60k,3-6m,4-6,15-30k,Weekly,Myntra,Fusion,Daily,Brand,Sale,Athleisure,Maybe,>7000,900-1200,500-800,>3000,3,1,4,5,3,1,2,Always,Delivery,Birthday,Zara,Service,Flat,Moderate
50+,Female,Tier-2,West,Private,Graduate,NA,>6m,7-12,60k-1L,Rare,Ajio,Casual,No,Brand,None,Sneakers,Yes,2000-4000,900-1200,2000-3000,>2000,1,2,3,3,1,1,2,No preference,Delivery,None,Zara,Recommendation,Bundle,Neutral
18–24,Female,Metro,West,Student,Graduate,60k-1L,1-3m,7-12,30-60k,Weekly,Amazon,Fusion,No,Trend,Party,Cargo,Yes,>7000,<300,500-800,>2000,5,4,1,3,2,3,2,No preference,Sizing,Birthday,H&M,None,Welcome,None
25–32,Non-binary,Tier-2,North,Business,Postgraduate,>1L,3-6m,1-3,30-60k,Quarterly,Myntra,Ethnic,Occasional,Price,Daily,Athleisure,Maybe,1000-2000,600-900,3000-4000,>4000,5,5,1,3,3,3,2,First time,Delivery,None,Local,Quality,B2G1,Neutral
25–32,Male,Tier-3,North,Business,Graduate,30-60k,<7d,1-3,<5k,Monthly,Amazon,Casual,No,Quality,Sale,Co-ord,No,2000-4000,<300,3000-4000,>1500,1,5,5,2,3,4,4,Always,Delivery,Free Gift,Local,Quality,B2G1,Moderate
50+,Female,Metro,East,Private,School,<15k,<7d,1-3,60k-1L,Monthly,Myntra,Casual,Occasional,Trend,Daily,Sneakers,Maybe,>7000,600-900,500-800,>1500,1,4,5,2,1,1,1,Always,Quality,Points,Newme,Fit,Flat,Low
33–40,Female,Tier-3,Central,Freelancer,Diploma,30-60k,3-6m,4-6,5-15k,Quarterly,Ajio,Athleisure,3-4x,Trend,Daily,Sneakers,Maybe,2000-4000,300-600,3000-4000,>2000,1,3,3,3,3,2,1,First time,Sizing,Birthday,H&M,Service,Scratch,Moderate
18–24,Non-binary,Tier-3,North-East,Student,Postgraduate,>1L,3-6m,13-20,<5k,Monthly,Brand,Ethnic,Daily,Quality,Festive,Cargo,Yes,4000-7000,600-900,800-1300,>4000,2,1,1,3,3,4,1,No preference,None,Birthday,H&M,Quality,Scratch,High
50+,Male,Metro,North-East,Business,Graduate,NA,>6m,7-12,<5k,Rare,Meesho,Casual,No,Sustainability,Party,Cargo,Yes,2000-4000,<300,800-1300,>3000,1,1,4,1,1,1,5,No,Delivery,Early Access,Local,Trend,Flat,Low
18–24,Female,Metro,East,Student,School,NA,3-6m,20+,5-15k,Monthly,Meesho,Fusion,3-4x,Quality,Daily,Graphic,Maybe,>7000,1200-1500,3000-4000,>3000,4,4,2,4,4,4,2,First time,Delivery,None,H&M,Quality,B2G1,None
18–24,Non-binary,Rural,North-East,Business,Diploma,15-30k,1-3m,1-3,5-15k,Weekly,Brand,Casual,Occasional,Comfort,Party,Co-ord,Maybe,2000-4000,900-1200,1300-2000,>1500,5,1,5,1,3,5,3,No preference,None,None,Uniqlo,Quality,Flat,Moderate
18–24,Female,Rural,North,Freelancer,School,>1L,>6m,4-6,<5k,Monthly,Meesho,Fusion,No,Price,Party,Co-ord,Yes,500-1000,<300,500-800,>2000,5,2,3,3,5,5,1,No,Returns,Early Access,Local,Quality,Bundle,Neutral
50+,Prefer not to say,Rural,West,Homemaker,Graduate,15-30k,8-30d,4-6,30-60k,Monthly,Instagram,Smart,Daily,Sustainability,Festive,Accessories,Yes,4000-7000,600-900,3000-4000,>4000,1,1,5,2,3,4,5,First time,None,Points,Roadster,None,Bundle,Neutral
25–32,Non-binary,Tier-3,North-East,Business,School,15-30k,1-3m,4-6,15-30k,Quarterly,Nykaa,Casual,3-4x,Brand,None,Athleisure,No,4000-7000,600-900,500-800,>4000,5,5,3,2,1,1,4,First time,None,Referral,Zara,Fit,Welcome,High
25–32,Male,Tier-3,East,Homemaker,Diploma,15-30k,>6m,20+,15-30k,Quarterly,Nykaa,Fusion,No,Price,Party,Athleisure,Maybe,1000-2000,900-1200,3000-4000,>3000,1,4,1,3,1,5,2,No preference,Sizing,Referral,H&M,Recommendation,Scratch,High
18–24,Male,Rural,Central,Business,Graduate,30-60k,>6m,20+,<5k,Weekly,Instagram,Ethnic,No,Price,Daily,Graphic,No,4000-7000,<300,800-1300,>3000,1,2,5,4,4,5,5,First time,No online,Early Access,Roadster,Price,Flat,High
33–40,Male,Tier-3,East,Government,Diploma,<15k,<7d,1-3,30-60k,Quarterly,Instagram,Smart,3-4x,Brand,None,Accessories,No,<500,1200-1500,1300-2000,>6000,5,1,3,5,4,4,3,Always,None,Early Access,Roadster,Recommendation,B2G1,High
Under 18,Male,Tier-3,South,Freelancer,School,NA,>6m,20+,5-15k,Weekly,Offline,Casual,Occasional,Price,None,Co-ord,No,500-1000,300-600,500-800,>6000,5,5,3,5,5,5,3,Always,Sizing,Points,Roadster,Quality,Scratch,None
50+,Female,Metro,East,Private,Postgraduate,30-60k,1-3m,1-3,>1L,Rare,Amazon,Athleisure,Occasional,Sustainability,College,Athleisure,Yes,1000-2000,1200-1500,1300-2000,>2000,4,3,5,1,5,2,4,No,No online,Points,H&M,Price,Scratch,Low
Under 18,Female,Metro,North,Homemaker,Postgraduate,<15k,3-6m,20+,<5k,Weekly,Myntra,Fusion,No,Sustainability,Daily,Co-ord,No,<500,300-600,800-1300,>6000,3,1,2,4,3,5,1,First time,None,Free Gift,Roadster,Service,Free Shipping,High
33–40,Male,Tier-3,West,Private,Postgraduate,NA,1-3m,20+,60k-1L,Monthly,Nykaa,Athleisure,Occasional,Sustainability,Daily,Co-ord,Yes,2000-4000,300-600,2000-3000,>4000,4,5,4,5,4,4,1,Always,Delivery,Referral,H&M,Price,B2G1,Moderate
50+,Male,Rural,West,Freelancer,Postgraduate,>1L,8-30d,20+,30-60k,Weekly,Ajio,Casual,Occasional,Trend,Party,Accessories,Yes,<500,<300,2000-3000,>6000,4,5,1,4,5,5,5,No preference,Delivery,Free Gift,Newme,Service,Scratch,None
18–24,Male,Tier-2,North-East,Unemployed,Diploma,NA,>6m,1-3,60k-1L,Rare,Instagram,Fusion,3-4x,Trend,Daily,Athleisure,Yes,1000-2000,300-600,500-800,>1500,5,5,5,2,3,5,5,No preference,No online,Birthday,Zara,Fit,Free Shipping,Low
25–32,Female,Rural,North,Private,Postgraduate,NA,>6m,7-12,60k-1L,Monthly,Meesho,Casual,Occasional,Sustainability,College,Cargo,Maybe,4000-7000,600-900,800-1300,>1500,4,5,5,2,2,3,1,No preference,Returns,None,Bonkers,Service,Free Shipping,None
Under 18,Male,Tier-2,South,Freelancer,Diploma,NA,>6m,1-3,<5k,Weekly,Brand,Smart,Occasional,Brand,Party,Cargo,No,500-1000,300-600,500-800,>3000,5,3,2,4,3,4,1,Always,No online,None,H&M,Service,Welcome,Neutral
41–50,Male,Rural,North,Private,Graduate,60k-1L,>6m,7-12,30-60k,Quarterly,Myntra,Smart,3-4x,Brand,Sale,Accessories,Yes,1000-2000,300-600,500-800,>3000,2,4,1,3,5,4,5,First time,None,Points,Zara,Trend,Free Shipping,None
41–50,Prefer not to say,Metro,East,Homemaker,Postgraduate,>1L,<7d,4-6,60k-1L,Quarterly,Offline,Casual,No,Quality,Daily,Athleisure,Maybe,<500,900-1200,500-800,>2000,1,5,5,5,3,3,2,First time,Quality,Referral,H&M,Fit,Bundle,None
33–40,Prefer not to say,Tier-3,North,Government,Diploma,30-60k,<7d,4-6,30-60k,Quarterly,Brand,Casual,No,Quality,Daily,Graphic,Maybe,<500,900-1200,1300-2000,>1500,3,4,2,5,2,3,3,First time,None,Referral,Uniqlo,Quality,Bundle,Neutral
18–24,Male,Tier-3,North,Private,Postgraduate,30-60k,3-6m,1-3,15-30k,Weekly,Meesho,Formal,3-4x,Sustainability,Festive,Sneakers,Maybe,1000-2000,<300,3000-4000,>2000,2,3,4,2,5,2,3,No,No online,Free Gift,Newme,Fit,Scratch,Neutral
Under 18,Non-binary,Metro,South,Homemaker,Postgraduate,<15k,>6m,7-12,>1L,Weekly,Instagram,Casual,Daily,Price,Sale,Accessories,Yes,>7000,<300,800-1300,>2000,1,3,3,1,3,5,4,First time,Quality,Early Access,Local,Trend,Welcome,Neutral
18–24,Male,Tier-2,East,Business,Postgraduate,30-60k,8-30d,7-12,60k-1L,Rare,Myntra,Casual,3-4x,Price,Sale,Co-ord,Yes,>7000,600-900,1300-2000,>6000,1,2,4,5,5,1,3,Always,No online,Early Access,Zara,None,B2G1,None
Under 18,Prefer not to say,Tier-2,Central,Freelancer,Diploma,15-30k,3-6m,7-12,60k-1L,Monthly,Instagram,Athleisure,Daily,Brand,College,Accessories,Yes,1000-2000,900-1200,3000-4000,>3000,3,2,4,2,3,1,5,Always,None,Points,Zara,Service,B2G1,Neutral
33–40,Non-binary,Tier-2,Central,Student,School,NA,>6m,4-6,30-60k,Monthly,Nykaa,Athleisure,Occasional,Price,Sale,Sneakers,Maybe,>7000,1200-1500,500-800,>2000,4,5,4,2,1,3,2,First time,Sizing,None,Roadster,Recommendation,Scratch,High
33–40,Non-binary,Metro,West,Unemployed,Postgraduate,30-60k,<7d,1-3,>1L,Monthly,Nykaa,Smart,No,Comfort,Festive,Accessories,Yes,1000-2000,<300,2000-3000,>2000,1,4,4,4,5,4,5,No preference,Delivery,Early Access,Local,Fit,Scratch,Moderate
41–50,Male,Tier-2,North-East,Student,Postgraduate,<15k,8-30d,13-20,15-30k,Monthly,Amazon,Athleisure,Daily,Trend,College,Athleisure,No,4000-7000,<300,1300-2000,>3000,3,3,3,4,5,4,1,No,Quality,Birthday,H&M,Trend,B2G1,Moderate
18–24,Prefer not to say,Metro,North,Freelancer,Graduate,<15k,3-6m,7-12,60k-1L,Weekly,Meesho,Casual,Daily,Price,Sale,Co-ord,Yes,1000-2000,900-1200,800-1300,>3000,5,1,1,4,5,2,1,No,Quality,Referral,H&M,Recommendation,B2G1,Neutral
50+,Prefer not to say,Rural,West,Government,School,15-30k,8-30d,7-12,<5k,Weekly,Offline,Ethnic,Occasional,Price,College,Sneakers,Yes,2000-4000,900-1200,800-1300,>1500,1,2,1,1,5,1,3,Always,None,Early Access,Bonkers,Quality,Bundle,Low
41–50,Non-binary,Rural,South,Private,Diploma,<15k,>6m,13-20,30-60k,Rare,Myntra,Casual,No,Quality,Sale,Cargo,No,500-1000,600-900,3000-4000,>3000,1,2,2,5,3,4,2,No,Delivery,Points,Roadster,Service,Bundle,None
18–24,Male,Metro,Central,Government,Graduate,60k-1L,1-3m,1-3,30-60k,Monthly,Offline,Formal,Occasional,Comfort,Sale,Graphic,Yes,500-1000,900-1200,1300-2000,>6000,4,1,2,1,4,2,4,No preference,Returns,Birthday,Local,Fit,Welcome,Moderate
41–50,Female,Tier-3,North,Student,Postgraduate,NA,8-30d,7-12,60k-1L,Weekly,Ajio,Fusion,No,Price,None,Accessories,Yes,2000-4000,300-600,500-800,>1500,4,4,5,1,3,2,5,First time,Quality,None,Roadster,Fit,Welcome,High
50+,Female,Rural,South,Unemployed,Graduate,NA,8-30d,1-3,15-30k,Weekly,Offline,Smart,No,Trend,Sale,Accessories,Yes,<500,1200-1500,3000-4000,>2000,5,4,4,4,2,3,4,No,Delivery,None,Bonkers,Recommendation,Welcome,Low
25–32,Prefer not to say,Tier-2,North-East,Homemaker,Graduate,NA,<7d,7-12,60k-1L,Weekly,Instagram,Athleisure,Occasional,Price,Daily,Sneakers,Yes,<500,300-600,800-1300,>6000,1,4,4,2,1,1,4,No,Delivery,Free Gift,Roadster,None,B2G1,Low
25–32,Female,Metro,South,Unemployed,Postgraduate,>1L,>6m,20+,5-15k,Weekly,Instagram,Ethnic,Daily,Brand,Sale,Graphic,Maybe,<500,300-600,1300-2000,>6000,4,5,3,3,3,2,4,Always,Quality,Free Gift,Roadster,None,B2G1,High
25–32,Prefer not to say,Tier-2,North,Freelancer,School,30-60k,8-30d,7-12,60k-1L,Monthly,Nykaa,Fusion,3-4x,Comfort,Daily,Accessories,Yes,<500,300-600,2000-3000,>1500,3,5,4,2,3,2,4,No preference,Sizing,Birthday,Newme,Service,Bundle,None
25–32,Prefer not to say,Tier-2,North-East,Freelancer,School,60k-1L,>6m,20+,>1L,Monthly,Amazon,Ethnic,No,Price,Party,Cargo,No,4000-7000,<300,500-800,>2000,1,1,3,2,5,2,5,Always,No online,Points,Uniqlo,None,Bundle,None
Under 18,Prefer not to say,Tier-3,South,Government,Graduate,30-60k,<7d,1-3,>1L,Weekly,Meesho,Smart,No,Comfort,None,Sneakers,No,2000-4000,300-600,800-1300,>1500,3,3,5,2,2,1,1,Always,Sizing,Free Gift,Zara,Fit,Flat,Neutral
25–32,Female,Tier-2,North-East,Homemaker,Postgraduate,60k-1L,>6m,7-12,5-15k,Quarterly,Instagram,Athleisure,3-4x,Price,Festive,Athleisure,Maybe,500-1000,<300,1300-2000,>4000,2,1,2,2,5,3,5,No,None,Referral,Local,Service,Flat,High
50+,Prefer not to say,Tier-3,North,Government,Diploma,30-60k,<7d,4-6,>1L,Rare,Nykaa,Formal,3-4x,Trend,College,Co-ord,Yes,2000-4000,900-1200,2000-3000,>4000,5,3,2,1,5,5,1,Always,No online,None,Bonkers,None,Scratch,High
33–40,Non-binary,Rural,North,Private,Graduate,15-30k,<7d,4-6,>1L,Monthly,Brand,Smart,Occasional,Trend,College,Cargo,No,500-1000,1200-1500,800-1300,>1500,4,1,5,4,4,4,1,Always,No online,None,None,Trend,B2G1,High
33–40,Male,Metro,North-East,Business,Diploma,<15k,3-6m,13-20,<5k,Monthly,Nykaa,Ethnic,No,Comfort,Party,Graphic,Maybe,<500,1200-1500,2000-3000,>2000,2,5,5,4,1,1,5,No,None,Referral,Newme,Service,Scratch,Neutral
Under 18,Male,Tier-2,East,Homemaker,Graduate,<15k,>6m,4-6,30-60k,Quarterly,Myntra,Ethnic,Occasional,Sustainability,Sale,Graphic,Yes,4000-7000,300-600,800-1300,>2000,4,4,4,2,4,1,5,No,Delivery,None,Uniqlo,Quality,Bundle,Moderate
25–32,Prefer not to say,Metro,West,Business,Graduate,15-30k,1-3m,20+,>1L,Monthly,Meesho,Smart,3-4x,Quality,Festive,Cargo,Maybe,1000-2000,1200-1500,3000-4000,>3000,2,2,2,3,5,1,5,No,Quality,None,Newme,Service,B2G1,None
25–32,Male,Tier-2,South,Unemployed,Postgraduate,60k-1L,3-6m,4-6,30-60k,Quarterly,Amazon,Casual,Occasional,Quality,Party,Athleisure,Yes,1000-2000,<300,3000-4000,>6000,4,1,1,5,1,5,1,First time,Sizing,None,None,Recommendation,Scratch,Neutral
25–32,Female,Metro,South,Private,Postgraduate,>1L,<7d,4-6,15-30k,Quarterly,Instagram,Smart,No,Brand,Party,Accessories,Maybe,>7000,900-1200,3000-4000,>1500,5,1,5,2,3,4,5,No preference,Delivery,Points,Newme,Fit,Scratch,Neutral
41–50,Female,Tier-2,East,Business,Diploma,60k-1L,1-3m,4-6,60k-1L,Weekly,Myntra,Athleisure,Daily,Sustainability,College,Athleisure,Maybe,<500,300-600,1300-2000,>6000,1,2,2,2,2,4,2,First time,Sizing,Points,Roadster,Recommendation,Free Shipping,Neutral
18–24,Male,Tier-2,East,Student,Diploma,<15k,8-30d,7-12,<5k,Monthly,Ajio,Athleisure,Daily,Quality,Daily,Accessories,No,<500,600-900,3000-4000,>6000,3,1,2,3,4,2,3,No,Quality,Referral,Uniqlo,Service,Flat,High
41–50,Female,Tier-2,East,Unemployed,School,>1L,8-30d,13-20,5-15k,Rare,Ajio,Formal,No,Comfort,Daily,Accessories,No,2000-4000,1200-1500,1300-2000,>4000,2,4,3,1,2,2,3,No preference,Sizing,Points,Uniqlo,Service,Welcome,Neutral
18–24,Male,Tier-2,Central,Business,Postgraduate,30-60k,3-6m,1-3,15-30k,Quarterly,Nykaa,Smart,Occasional,Quality,Sale,Graphic,Maybe,4000-7000,1200-1500,500-800,>4000,3,2,2,2,5,3,2,Always,Returns,Birthday,Bonkers,Service,B2G1,Moderate
25–32,Male,Tier-2,Central,Private,Graduate,>1L,1-3m,13-20,<5k,Rare,Amazon,Fusion,3-4x,Brand,Sale,Accessories,Yes,4000-7000,300-600,3000-4000,>1500,3,2,5,3,1,1,3,No preference,None,Points,Roadster,Quality,Free Shipping,Low
25–32,Male,Tier-2,North-East,Business,Graduate,60k-1L,>6m,20+,<5k,Weekly,Offline,Athleisure,3-4x,Price,Party,Cargo,Yes,2000-4000,1200-1500,1300-2000,>1500,4,4,4,1,3,3,1,No,No online,None,None,Recommendation,Welcome,Neutral
41–50,Prefer not to say,Tier-2,Central,Freelancer,School,15-30k,1-3m,7-12,5-15k,Monthly,Amazon,Athleisure,Daily,Quality,Sale,Accessories,Yes,4000-7000,1200-1500,800-1300,>2000,1,4,2,1,1,1,5,First time,Sizing,Referral,Roadster,Quality,Scratch,Moderate
41–50,Male,Tier-2,North,Government,Postgraduate,30-60k,3-6m,7-12,5-15k,Weekly,Amazon,Athleisure,Occasional,Comfort,Daily,Cargo,Yes,4000-7000,600-900,1300-2000,>1500,4,2,1,2,2,4,5,No preference,Quality,Early Access,None,Fit,Free Shipping,High
18–24,Prefer not to say,Tier-2,North-East,Student,Graduate,60k-1L,>6m,4-6,30-60k,Weekly,Amazon,Casual,3-4x,Comfort,Festive,Co-ord,Yes,1000-2000,<300,1300-2000,>2000,3,4,5,1,2,3,5,Always,Quality,Points,Newme,Recommendation,Bundle,Low
33–40,Male,Metro,South,Freelancer,School,30-60k,>6m,4-6,60k-1L,Rare,Nykaa,Fusion,3-4x,Brand,College,Graphic,No,4000-7000,300-600,800-1300,>2000,5,4,4,2,3,4,2,First time,Returns,Free Gift,H&M,Fit,Bundle,None
18–24,Male,Tier-3,West,Freelancer,School,>1L,8-30d,20+,15-30k,Rare,Myntra,Smart,No,Brand,Daily,Athleisure,Maybe,<500,300-600,1300-2000,>1500,1,4,4,2,3,2,2,First time,Quality,Birthday,Bonkers,Service,Bundle,None
41–50,Male,Tier-2,North,Private,Graduate,<15k,1-3m,7-12,60k-1L,Quarterly,Nykaa,Casual,Occasional,Trend,None,Sneakers,No,1000-2000,600-900,800-1300,>2000,1,2,5,4,1,4,1,First time,Returns,Birthday,Bonkers,Price,Scratch,High
50+,Female,Tier-3,South,Government,Graduate,60k-1L,>6m,1-3,15-30k,Monthly,Offline,Athleisure,Occasional,Trend,Sale,Athleisure,Yes,<500,600-900,2000-3000,>6000,3,1,4,5,4,5,2,First time,Delivery,Birthday,Newme,Recommendation,Welcome,High
41–50,Prefer not to say,Tier-2,South,Government,Diploma,15-30k,3-6m,13-20,<5k,Weekly,Myntra,Fusion,3-4x,Trend,College,Athleisure,Maybe,<500,<300,3000-4000,>2000,4,3,1,5,1,3,5,Always,Sizing,Free Gift,Newme,Trend,Welcome,None
50+,Prefer not to say,Tier-2,North-East,Homemaker,Postgraduate,>1L,8-30d,7-12,>1L,Quarterly,Offline,Fusion,Occasional,Price,None,Sneakers,Yes,2000-4000,900-1200,500-800,>6000,5,2,2,4,2,1,1,No,Quality,Free Gift,Local,Service,Bundle,High
Under 18,Male,Metro,East,Unemployed,Diploma,60k-1L,>6m,1-3,>1L,Quarterly,Brand,Casual,Occasional,Comfort,College,Graphic,Yes,>7000,300-600,1300-2000,>6000,2,3,5,2,1,4,1,Always,None,Birthday,Zara,None,Scratch,None
41–50,Male,Rural,East,Student,School,15-30k,1-3m,1-3,5-15k,Weekly,Brand,Athleisure,Occasional,Trend,Party,Accessories,Maybe,4000-7000,1200-1500,800-1300,>6000,4,4,2,3,5,3,5,No,Sizing,Birthday,Newme,None,Welcome,High
Under 18,Female,Rural,North,Unemployed,Graduate,60k-1L,8-30d,13-20,5-15k,Weekly,Meesho,Casual,No,Comfort,Sale,Co-ord,Yes,4000-7000,<300,3000-4000,>3000,1,4,2,1,1,1,4,No,Returns,Birthday,Roadster,Trend,Bundle,None
33–40,Female,Metro,East,Private,Diploma,>1L,1-3m,1-3,<5k,Quarterly,Instagram,Ethnic,3-4x,Brand,Party,Athleisure,No,4000-7000,300-600,1300-2000,>3000,4,1,4,4,1,3,5,No preference,Sizing,Points,Local,Quality,B2G1,Moderate
18–24,Female,Tier-3,South,Student,School,60k-1L,1-3m,20+,<5k,Weekly,Instagram,Athleisure,Daily,Price,College,Accessories,No,4000-7000,<300,3000-4000,>2000,2,4,5,4,5,3,1,Always,Sizing,None,Newme,Fit,Bundle,High
50+,Prefer not to say,Rural,East,Homemaker,Postgraduate,30-60k,1-3m,1-3,15-30k,Weekly,Myntra,Casual,Occasional,Brand,Party,Athleisure,No,1000-2000,900-1200,2000-3000,>1500,5,3,2,4,2,5,4,No,Quality,Free Gift,None,Price,Scratch,None
18–24,Prefer not to say,Metro,Central,Business,Graduate,>1L,8-30d,20+,<5k,Rare,Nykaa,Smart,3-4x,Comfort,Sale,Graphic,Yes,500-1000,300-600,1300-2000,>2000,5,2,3,4,3,4,5,Always,None,Referral,Bonkers,None,Flat,High
Under 18,Prefer not to say,Metro,East,Freelancer,Diploma,60k-1L,>6m,1-3,15-30k,Monthly,Offline,Athleisure,Daily,Sustainability,Daily,Graphic,No,<500,1200-1500,800-1300,>3000,2,2,1,5,1,5,5,Always,Delivery,None,H&M,Fit,B2G1,None
50+,Male,Rural,South,Student,Postgraduate,<15k,<7d,4-6,60k-1L,Quarterly,Offline,Formal,No,Sustainability,Festive,Cargo,Yes,>7000,300-600,2000-3000,>4000,2,1,4,2,4,2,4,No,None,Points,H&M,Quality,Scratch,None
18–24,Prefer not to say,Tier-3,North-East,Unemployed,Diploma,60k-1L,>6m,1-3,5-15k,Weekly,Instagram,Athleisure,3-4x,Trend,None,Graphic,Yes,>7000,<300,1300-2000,>4000,3,3,5,4,3,3,4,No,No online,Referral,Roadster,Service,Bundle,Low
41–50,Non-binary,Metro,North,Freelancer,School,30-60k,8-30d,20+,5-15k,Quarterly,Instagram,Ethnic,No,Sustainability,Daily,Graphic,No,500-1000,900-1200,3000-4000,>2000,1,4,5,4,4,4,3,First time,Returns,Points,H&M,Quality,Flat,High
25–32,Non-binary,Tier-2,West,Private,Postgraduate,15-30k,<7d,1-3,>1L,Monthly,Ajio,Casual,3-4x,Brand,College,Athleisure,No,500-1000,<300,2000-3000,>3000,3,5,4,4,1,2,4,No preference,No online,Points,Newme,Price,Bundle,Moderate
Under 18,Female,Tier-3,East,Unemployed,Diploma,15-30k,<7d,1-3,>1L,Quarterly,Offline,Formal,No,Sustainability,Daily,Co-ord,Yes,500-1000,<300,800-1300,>6000,4,1,2,3,4,2,2,No,None,Referral,H&M,Service,B2G1,Neutral
18–24,Prefer not to say,Tier-3,South,Business,Postgraduate,15-30k,<7d,1-3,5-15k,Quarterly,Nykaa,Ethnic,3-4x,Quality,Party,Athleisure,Yes,1000-2000,600-900,1300-2000,>3000,2,1,4,3,3,5,4,No,None,Birthday,Newme,Recommendation,Bundle,Neutral
Under 18,Non-binary,Rural,West,Private,School,<15k,3-6m,20+,60k-1L,Quarterly,Ajio,Smart,No,Price,Sale,Accessories,Yes,500-1000,<300,3000-4000,>2000,3,5,5,1,4,2,1,No,Returns,None,None,None,Welcome,High
Under 18,Female,Rural,West,Business,Postgraduate,30-60k,8-30d,1-3,60k-1L,Rare,Nykaa,Athleisure,Daily,Comfort,Daily,Graphic,Yes,1000-2000,900-1200,3000-4000,>3000,1,2,3,2,4,1,4,No preference,None,Referral,Uniqlo,Service,Bundle,None
